"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"field_1437_v","glOcclusionQueryBase","v","Ljava/nio/IntBuffer;","Ljava/nio/IntBuffer;","RenderGlobal","n","net/minecraft/src","0"
"field_1436_w","occlusionEnabled","w","Z","Z","RenderGlobal","n","net/minecraft/src","0"
"field_1435_x","cloudOffsetX","x","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1434_y","starGLCallList","y","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1433_z","glSkyList","z","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1432_A","glSkyList2","A","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1431_B","minBlockX","B","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1430_C","minBlockY","C","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1429_D","minBlockZ","D","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1428_E","maxBlockX","E","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1427_F","maxBlockY","F","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1426_G","maxBlockZ","G","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1425_H","renderDistance","H","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1424_I","renderEntitiesStartupCounter","I","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1423_J","countEntitiesTotal","J","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1422_K","countEntitiesRendered","K","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1421_L","countEntitiesHidden","L","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1457_b","dummyBuf50k","b","[I","[I","RenderGlobal","n","net/minecraft/src","0"
"field_1456_c","occlusionResult","c","Ljava/nio/IntBuffer;","Ljava/nio/IntBuffer;","RenderGlobal","n","net/minecraft/src","0"
"field_1420_M","renderersLoaded","M","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1419_N","renderersBeingClipped","N","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1418_O","renderersBeingOccluded","O","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1417_P","renderersBeingRendered","P","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1416_Q","renderersSkippingRenderPass","Q","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_21156_R","worldRenderersCheckIndex","R","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1415_R","glRenderLists","S","Ljava/util/List;","Ljava/util/List;","RenderGlobal","n","net/minecraft/src","0"
"field_1414_S","allRenderLists","T","[LRenderList;","[Ltg;","RenderGlobal","n","net/minecraft/src","0"
"field_1455_d","dummyInt0","d","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1454_e","glDummyList","e","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1453_f","prevSortX","f","D","D","RenderGlobal","n","net/minecraft/src","0"
"field_1452_g","prevSortY","g","D","D","RenderGlobal","n","net/minecraft/src","0"
"field_1451_h","prevSortZ","h","D","D","RenderGlobal","n","net/minecraft/src","0"
"field_1450_i","damagePartialTime","i","F","F","RenderGlobal","n","net/minecraft/src","0"
"field_1449_j","frustrumCheckOffset","j","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_27242_a","field_27242_a","a","Ljava/util/List;","Ljava/util/List;","J_JsonArrayNodeBuilder","ed","net/minecraft/src","0"
"field_316_a","recordName","a","Ljava/lang/String;","Ljava/lang/String;","ItemRecord","tr","net/minecraft/src","0"
"field_885_a","plantBlockId","a","I","I","WorldGenFlowers","be","net/minecraft/src","0"
"field_1287_a","boatSides","a","[LModelRenderer;","[Lps;","ModelBoat","ez","net/minecraft/src","0"
"field_1729_a","worldObj","a","LWorld;","Lfd;","EffectRenderer","dn","net/minecraft/src","0"
"field_1728_b","fxLayers","b","[Ljava/util/List;","[Ljava/util/List;","EffectRenderer","dn","net/minecraft/src","0"
"field_1731_c","renderer","c","LRenderEngine;","Lji;","EffectRenderer","dn","net/minecraft/src","0"
"field_1730_d","rand","d","Ljava/util/Random;","Ljava/util/Random;","EffectRenderer","dn","net/minecraft/src","0"
"field_22283_b","field_22283_b","b","I","I","RegionFileChunkBuffer","hz","net/minecraft/src","0"
"field_22285_c","field_22285_c","c","I","I","RegionFileChunkBuffer","hz","net/minecraft/src","0"
"field_22284_a","field_22284_a","a","LRegionFile;","Lqj;","RegionFileChunkBuffer","hz","net/minecraft/src","0"
"field_1661_c","rand","c","Ljava/util/Random;","Ljava/util/Random;","SoundPool","hr","net/minecraft/src","0"
"field_1660_d","nameToSoundPoolEntriesMapping","d","Ljava/util/Map;","Ljava/util/Map;","SoundPool","hr","net/minecraft/src","0"
"field_1659_e","allSoundPoolEntries","e","Ljava/util/List;","Ljava/util/List;","SoundPool","hr","net/minecraft/src","0"
"field_1658_a","numberOfSoundPoolEntries","a","I","I","SoundPool","hr","net/minecraft/src","0"
"field_1657_b","field_1657_b","b","Z","Z","SoundPool","hr","net/minecraft/src","0"
"field_27274_a","field_27274_a","a","LGuiStats;","Ldv;","GuiSlotStatsBlock","ga","net/minecraft/src","0"
"field_1085_a","netManager","a","LNetworkManager;","Lpf;","NetworkReaderThread","xj","net/minecraft/src","0"
"field_965_a","updateCounter","a","I","I","GuiConflictWarning","qh","net/minecraft/src","0"
"field_20029_a","windowId","a","I","I","Packet106Transaction","oj","net/minecraft/src","0"
"field_20028_b","field_20028_b","b","S","S","Packet106Transaction","oj","net/minecraft/src","0"
"field_20030_c","field_20030_c","c","Z","Z","Packet106Transaction","oj","net/minecraft/src","0"
"field_1167_a","typeOfHit","a","LEnumMovingObjectType;","Ljg;","MovingObjectPosition","vf","net/minecraft/src","0"
"field_1166_b","blockX","b","I","I","MovingObjectPosition","vf","net/minecraft/src","0"
"field_1172_c","blockY","c","I","I","MovingObjectPosition","vf","net/minecraft/src","0"
"field_1171_d","blockZ","d","I","I","MovingObjectPosition","vf","net/minecraft/src","0"
"field_1170_e","sideHit","e","I","I","MovingObjectPosition","vf","net/minecraft/src","0"
"field_1169_f","hitVec","f","LVec3D;","Lbt;","MovingObjectPosition","vf","net/minecraft/src","0"
"field_1168_g","entityHit","g","LEntity;","Lsn;","MovingObjectPosition","vf","net/minecraft/src","0"
"field_1337_a","air","a","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_28130_b","grassMaterial","b","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_1336_b","ground","c","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_1335_c","wood","d","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_1334_d","rock","e","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_1333_e","iron","f","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_1332_f","water","g","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_1331_g","lava","h","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_4265_h","leaves","i","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_1329_i","plants","j","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_1328_j","sponge","k","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_4264_k","cloth","l","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_1326_l","fire","m","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_1325_m","sand","n","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_1324_n","circuits","o","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_4263_o","glass","p","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_1322_p","tnt","q","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_4262_q","unusedMaterial","r","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_1320_r","ice","s","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_1319_s","snow","t","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_1318_t","builtSnow","u","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_1317_u","cactus","v","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_1316_v","clay","w","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_4261_w","pumpkin","x","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_4260_x","portal","y","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_21150_y","cakeMaterial","z","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_31068_A","webMaterial","A","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_31067_B","pistonMaterial","B","LMaterial;","Lln;","Material","ln","net/minecraft/src","0"
"field_4259_y","canBurn","D","Z","Z","Material","ln","net/minecraft/src","0"
"field_27285_A","groundCover","E","Z","Z","Material","ln","net/minecraft/src","0"
"field_28128_D","isOpaque","F","Z","Z","Material","ln","net/minecraft/src","0"
"field_28129_A","materialMapColor","C","LMapColor;","Ldx;","Material","ln","net/minecraft/src","0"
"field_31066_G","canHarvest","G","Z","Z","Material","ln","net/minecraft/src","0"
"field_31065_H","mobilityFlag","H","I","I","Material","ln","net/minecraft/src","0"
"field_1111_a","x","a","I","I","ChunkPosition","wf","net/minecraft/src","0"
"field_1110_b","y","b","I","I","ChunkPosition","wf","net/minecraft/src","0"
"field_1112_c","z","c","I","I","ChunkPosition","wf","net/minecraft/src","0"
"field_6359_a","graphicsLevel","b","Z","Z","BlockLeavesBase","nr","net/minecraft/src","0"
"field_1363_f","nextTickEntryID","f","J","J","NextTickListEntry","qy","net/minecraft/src","0"
"field_1361_a","xCoord","a","I","I","NextTickListEntry","qy","net/minecraft/src","0"
"field_1360_b","yCoord","b","I","I","NextTickListEntry","qy","net/minecraft/src","0"
"field_1366_c","zCoord","c","I","I","NextTickListEntry","qy","net/minecraft/src","0"
"field_1365_d","blockID","d","I","I","NextTickListEntry","qy","net/minecraft/src","0"
"field_1364_e","scheduledTime","e","J","J","NextTickListEntry","qy","net/minecraft/src","0"
"field_1362_g","tickEntryID","g","J","J","NextTickListEntry","qy","net/minecraft/src","0"
"field_840_a","stackList","a","[LItemStack;","[Liz;","InventoryCrafting","mq","net/minecraft/src","0"
"field_21104_b","field_21104_b","b","I","I","InventoryCrafting","mq","net/minecraft/src","0"
"field_841_c","eventHandler","c","LContainer;","Ldw;","InventoryCrafting","mq","net/minecraft/src","0"
"field_4117_a","angerLevel","a","I","I","EntityPigZombie","ya","net/minecraft/src","0"
"field_4116_b","randomSoundDelay","b","I","I","EntityPigZombie","ya","net/minecraft/src","0"
"field_4118_c","defaultHeldItem","f","LItemStack;","Liz;","EntityPigZombie","ya","net/minecraft/src","0"
"field_923_k","zLevel","k","F","F","Gui","ub","net/minecraft/src","0"
"field_27018_a","field_27018_a","a","I","I","EntityFootStepFX","gl","net/minecraft/src","0"
"field_27020_o","field_27020_o","o","I","I","EntityFootStepFX","gl","net/minecraft/src","0"
"field_27019_p","field_27019_p","p","LRenderEngine;","Lji;","EntityFootStepFX","gl","net/minecraft/src","0"
"field_1307_b","charWidth","b","[I","[I","FontRenderer","sj","net/minecraft/src","0"
"field_1308_a","fontTextureName","a","I","I","FontRenderer","sj","net/minecraft/src","0"
"field_1310_c","fontDisplayLists","c","I","I","FontRenderer","sj","net/minecraft/src","0"
"field_1309_d","buffer","d","Ljava/nio/IntBuffer;","Ljava/nio/IntBuffer;","FontRenderer","sj","net/minecraft/src","0"
"field_944_i","sliderValue","i","F","F","GuiSlider","vz","net/minecraft/src","0"
"field_943_j","dragging","j","Z","Z","GuiSlider","vz","net/minecraft/src","0"
"field_942_l","idFloat","l","LEnumOptions;","Lht;","GuiSlider","vz","net/minecraft/src","0"
"field_201_d","renderBlocks","e","LRenderBlocks;","Lcv;","RenderItem","bb","net/minecraft/src","0"
"field_200_e","random","f","Ljava/util/Random;","Ljava/util/Random;","RenderItem","bb","net/minecraft/src","0"
"field_27004_a","field_27004_a","a","Z","Z","RenderItem","bb","net/minecraft/src","0"
"field_1615_a","stackSize","a","I","I","ItemStack","iz","net/minecraft/src","0"
"field_1614_b","animationsToGo","b","I","I","ItemStack","iz","net/minecraft/src","0"
"field_1617_c","itemID","c","I","I","ItemStack","iz","net/minecraft/src","0"
"field_1616_d","itemDamage","d","I","I","ItemStack","iz","net/minecraft/src","0"
"field_204_f","scale","a","F","F","RenderGiantZombie","yg","net/minecraft/src","0"
"field_22180_a","field_22180_a","a","Ljava/io/File;","Ljava/io/File;","SaveFormatOld","tq","net/minecraft/src","0"
"field_797_bg","sendQueue","bN","LNetClientHandler;","Lnb;","EntityClientPlayerMP","tk","net/minecraft/src","0"
"field_9380_bx","field_9380_bx","bO","I","I","EntityClientPlayerMP","tk","net/minecraft/src","0"
"field_21093_bH","field_21093_bH","bP","Z","Z","EntityClientPlayerMP","tk","net/minecraft/src","0"
"field_9379_by","oldPosX","bQ","D","D","EntityClientPlayerMP","tk","net/minecraft/src","0"
"field_9378_bz","field_9378_bz","bR","D","D","EntityClientPlayerMP","tk","net/minecraft/src","0"
"field_9377_bA","oldPosY","bS","D","D","EntityClientPlayerMP","tk","net/minecraft/src","0"
"field_9376_bB","oldPosZ","bT","D","D","EntityClientPlayerMP","tk","net/minecraft/src","0"
"field_9385_bC","oldRotationYaw","bU","F","F","EntityClientPlayerMP","tk","net/minecraft/src","0"
"field_9384_bD","oldRotationPitch","bV","F","F","EntityClientPlayerMP","tk","net/minecraft/src","0"
"field_9382_bF","field_9382_bF","bW","Z","Z","EntityClientPlayerMP","tk","net/minecraft/src","0"
"field_9381_bG","wasSneaking","bX","Z","Z","EntityClientPlayerMP","tk","net/minecraft/src","0"
"field_12242_bI","field_12242_bI","bY","I","I","EntityClientPlayerMP","tk","net/minecraft/src","0"
"field_4083_a","field_4083_a","a","F","F","EntityPortalFX","op","net/minecraft/src","0"
"field_4086_p","field_4086_p","o","D","D","EntityPortalFX","op","net/minecraft/src","0"
"field_4085_q","field_4085_q","p","D","D","EntityPortalFX","op","net/minecraft/src","0"
"field_4084_r","field_4084_r","q","D","D","EntityPortalFX","op","net/minecraft/src","0"
"field_1371_a","keyDescription","a","Ljava/lang/String;","Ljava/lang/String;","KeyBinding","qb","net/minecraft/src","0"
"field_1370_b","keyCode","b","I","I","KeyBinding","qb","net/minecraft/src","0"
"field_463_b","baseIndexInPNG","c","I","I","BlockLeaves","bk","net/minecraft/src","0"
"field_20017_a","adjacentTreeBlocks","a","[I","[I","BlockLeaves","bk","net/minecraft/src","0"
"field_27438_a","isBusy","a","Z","Z","StatsSyncher","cj","net/minecraft/src","0"
"field_27437_b","field_27437_b","b","Ljava/util/Map;","Ljava/util/Map;","StatsSyncher","cj","net/minecraft/src","0"
"field_27436_c","field_27436_c","c","Ljava/util/Map;","Ljava/util/Map;","StatsSyncher","cj","net/minecraft/src","0"
"field_27435_d","field_27435_d","d","LStatFileWriter;","Lxi;","StatsSyncher","cj","net/minecraft/src","0"
"field_27434_e","field_27434_e","e","Ljava/io/File;","Ljava/io/File;","StatsSyncher","cj","net/minecraft/src","0"
"field_27433_f","field_27433_f","f","Ljava/io/File;","Ljava/io/File;","StatsSyncher","cj","net/minecraft/src","0"
"field_27432_g","field_27432_g","g","Ljava/io/File;","Ljava/io/File;","StatsSyncher","cj","net/minecraft/src","0"
"field_27431_h","field_27431_h","h","Ljava/io/File;","Ljava/io/File;","StatsSyncher","cj","net/minecraft/src","0"
"field_27430_i","field_27430_i","i","Ljava/io/File;","Ljava/io/File;","StatsSyncher","cj","net/minecraft/src","0"
"field_27429_j","field_27429_j","j","Ljava/io/File;","Ljava/io/File;","StatsSyncher","cj","net/minecraft/src","0"
"field_27428_k","field_27428_k","k","LSession;","Lgr;","StatsSyncher","cj","net/minecraft/src","0"
"field_27427_l","field_27427_l","l","I","I","StatsSyncher","cj","net/minecraft/src","0"
"field_27426_m","field_27426_m","m","I","I","StatsSyncher","cj","net/minecraft/src","0"
"field_799_a","blockID","a","I","I","EntityFallingSand","ju","net/minecraft/src","0"
"field_798_b","fallTime","b","I","I","EntityFallingSand","ju","net/minecraft/src","0"
"field_22189_a","field_22189_a","a","Ljava/util/regex/Pattern;","Ljava/util/regex/Pattern;","ChunkFilePattern","rs","net/minecraft/src","0"
"field_6367_a","entityId","a","I","I","Packet28EntityVelocity","gj","net/minecraft/src","0"
"field_6366_b","motionX","b","I","I","Packet28EntityVelocity","gj","net/minecraft/src","0"
"field_6369_c","motionY","c","I","I","Packet28EntityVelocity","gj","net/minecraft/src","0"
"field_6368_d","motionZ","d","I","I","Packet28EntityVelocity","gj","net/minecraft/src","0"
"field_28058_a","field_28058_a","a","I","I","WorldGenDeadBush","kt","net/minecraft/src","0"
"field_20020_a","xPosition","a","I","I","Packet130UpdateSign","ui","net/minecraft/src","0"
"field_20019_b","yPosition","b","I","I","Packet130UpdateSign","ui","net/minecraft/src","0"
"field_20022_c","zPosition","c","I","I","Packet130UpdateSign","ui","net/minecraft/src","0"
"field_20021_d","signLines","d","[Ljava/lang/String;","[Ljava/lang/String;","Packet130UpdateSign","ui","net/minecraft/src","0"
"field_205_f","scaleAmount","a","LModelBase;","Lko;","RenderSlime","mj","net/minecraft/src","0"
"field_982_j","upperChestInventory","l","LIInventory;","Llw;","GuiChest","hp","net/minecraft/src","0"
"field_981_l","lowerChestInventory","m","LIInventory;","Llw;","GuiChest","hp","net/minecraft/src","0"
"field_980_m","inventoryRows","n","I","I","GuiChest","hp","net/minecraft/src","0"
"field_1356_a","mc","a","LMinecraft;","LMinecraft;","ItemRenderer","ra","net/minecraft/src","0"
"field_9451_b","itemToRender","b","LItemStack;","Liz;","ItemRenderer","ra","net/minecraft/src","0"
"field_9453_c","equippedProgress","c","F","F","ItemRenderer","ra","net/minecraft/src","0"
"field_9452_d","prevEquippedProgress","d","F","F","ItemRenderer","ra","net/minecraft/src","0"
"field_1357_e","renderBlocksInstance","e","LRenderBlocks;","Lcv;","ItemRenderer","ra","net/minecraft/src","0"
"field_28131_f","field_28131_f","f","LMapItemRenderer;","Liy;","ItemRenderer","ra","net/minecraft/src","0"
"field_20099_f","field_20099_f","g","I","I","ItemRenderer","ra","net/minecraft/src","0"
"field_1781_a","soundName","a","Ljava/lang/String;","Ljava/lang/String;","SoundPoolEntry","bh","net/minecraft/src","0"
"field_1780_b","soundUrl","b","Ljava/net/URL;","Ljava/net/URL;","SoundPoolEntry","bh","net/minecraft/src","0"
"field_20920_e","mainModel","e","LModelBase;","Lko;","RenderLiving","gv","net/minecraft/src","0"
"field_6332_f","renderPassModel","f","LModelBase;","Lko;","RenderLiving","gv","net/minecraft/src","0"
"field_778_b","inventory","c","LInventoryPlayer;","Lix;","EntityPlayer","gs","net/minecraft/src","0"
"field_20069_g","inventorySlots","d","LContainer;","Ldw;","EntityPlayer","gs","net/minecraft/src","0"
"field_20068_h","craftingInventory","e","LContainer;","Ldw;","EntityPlayer","gs","net/minecraft/src","0"
"field_9371_f","field_9371_f","f","B","B","EntityPlayer","gs","net/minecraft/src","0"
"field_9370_g","score","g","I","I","EntityPlayer","gs","net/minecraft/src","0"
"field_775_e","prevCameraYaw","h","F","F","EntityPlayer","gs","net/minecraft/src","0"
"field_774_f","cameraYaw","i","F","F","EntityPlayer","gs","net/minecraft/src","0"
"field_9369_j","isSwinging","j","Z","Z","EntityPlayer","gs","net/minecraft/src","0"
"field_9368_k","swingProgressInt","k","I","I","EntityPlayer","gs","net/minecraft/src","0"
"field_771_i","username","l","Ljava/lang/String;","Ljava/lang/String;","EntityPlayer","gs","net/minecraft/src","0"
"field_4129_m","dimension","m","I","I","EntityPlayer","gs","net/minecraft/src","0"
"field_20067_q","playerCloakUrl","n","Ljava/lang/String;","Ljava/lang/String;","EntityPlayer","gs","net/minecraft/src","0"
"field_20066_r","field_20066_r","o","D","D","EntityPlayer","gs","net/minecraft/src","0"
"field_20065_s","field_20065_s","p","D","D","EntityPlayer","gs","net/minecraft/src","0"
"field_20064_t","field_20064_t","q","D","D","EntityPlayer","gs","net/minecraft/src","0"
"field_20063_u","field_20063_u","r","D","D","EntityPlayer","gs","net/minecraft/src","0"
"field_20062_v","field_20062_v","s","D","D","EntityPlayer","gs","net/minecraft/src","0"
"field_20061_w","field_20061_w","t","D","D","EntityPlayer","gs","net/minecraft/src","0"
"field_21901_a","sleeping","u","Z","Z","EntityPlayer","gs","net/minecraft/src","0"
"field_21908_b","bedChunkCoordinates","v","LChunkCoordinates;","Lbr;","EntityPlayer","gs","net/minecraft/src","0"
"field_21907_c","sleepTimer","a","I","I","EntityPlayer","gs","net/minecraft/src","0"
"field_22063_x","field_22063_x","w","F","F","EntityPlayer","gs","net/minecraft/src","0"
"field_22062_y","field_22062_y","x","F","F","EntityPlayer","gs","net/minecraft/src","0"
"field_22061_z","field_22061_z","y","F","F","EntityPlayer","gs","net/minecraft/src","0"
"field_24900_bi","playerSpawnCoordinate","b","LChunkCoordinates;","Lbr;","EntityPlayer","gs","net/minecraft/src","0"
"field_26907_d","startMinecartRidingCoordinate","bN","LChunkCoordinates;","Lbr;","EntityPlayer","gs","net/minecraft/src","0"
"field_28024_y","timeUntilPortal","z","I","I","EntityPlayer","gs","net/minecraft/src","0"
"field_28023_z","inPortal","A","Z","Z","EntityPlayer","gs","net/minecraft/src","0"
"field_28026_A","timeInPortal","B","F","F","EntityPlayer","gs","net/minecraft/src","0"
"field_28025_B","prevTimeInPortal","C","F","F","EntityPlayer","gs","net/minecraft/src","0"
"field_781_a","damageRemainder","bO","I","I","EntityPlayer","gs","net/minecraft/src","0"
"field_4128_n","fishEntity","D","LEntityFish;","Llx;","EntityPlayer","gs","net/minecraft/src","0"
"field_4256_a","rainforest","a","LBiomeGenBase;","Lkd;","BiomeGenBase","kd","net/minecraft/src","0"
"field_4255_b","swampland","b","LBiomeGenBase;","Lkd;","BiomeGenBase","kd","net/minecraft/src","0"
"field_4254_c","seasonalForest","c","LBiomeGenBase;","Lkd;","BiomeGenBase","kd","net/minecraft/src","0"
